1 658.51, 655.14, 108.0]
1 657.71, 656.45, 0.0]
1 656.81, 659.68, 0.0]
1 657.49, 659.89, 227.0]
1 659.27, 656.15, 34.0]
1 660.15, 656.56, 0.0]
2 655.64, 656.25, 0.0]
2 655.54, 658.78, 0.0]
2 662.09, 656.15, 0.0]
2 658.27, 660.62, 0.0]
2 657.89, 655.62, 0.0]
2 656.01, 661.8, 0.0]
3 655.06, 656.46, 39.0]
3 658.39, 659.21, 0.0]
3 659.83, 656.13, 0.0]
3 659.45, 658.75, 0.0]
3 658.67, 656.85, 29.0]
3 654.9, 661.97, 0.0]
4 656.47, 653.55, 0.0]
4 656.38, 655.75, 0.0]
4 655.59, 655.57, 0.0]
4 659.51, 657.8, 0.0]
4 657.63, 656.41, 0.0]
4 654.84, 657.09, 0.0]
5 655.69, 656.12, 0.0]
5 654.58, 659.53, 0.0]
5 659.09, 656.01, 0.0]
5 656.44, 658.25, 0.0]
5 660.8, 655.67, 214.0]
5 656.31, 660.16, 0.0]
6 656.34, 657.64, 0.0]
6 655.75, 654.61, 0.0]
6 656.45, 655.2, 0.0]
6 657.56, 657.37, 0.0]
6 655.34, 654.78, 0.0]
6 657.44, 661.1, 0.0]
