pictureName circle_x circle_y radius size_x size_y
mao_pictures/pic0925/bad_cube_95.jpg 302.5 499.5 17.4 261 261
mao_pictures/pic0925/bad_cube_96.jpg 305.5 497.5 17.7 262 261
mao_pictures/pic0925/bad_cube_96.jpg 305.5 497.5 17.7 262 261
mao_pictures/pic0925/bad_cube_96.jpg 305.5 497.5 17.7 262 261
mao_pictures/pic1008/test_now.jpg 321.5 586.5 21.2 233 237
mao_pictures/pic1008/test_now.jpg 385.5 509.5 20.2 233 237
mao_pictures/pic1008/test_now.jpg 385.5 509.5 20.2 233 237
mao_pictures/pic1008/test_now.jpg 185.5 453.5 18.0 233 237
mao_pictures/pic1008/test_now.jpg 299.5 397.5 17.2 233 237
mao_pictures/pic1008/test_now.jpg 299.5 397.5 17.2 233 237
mao_pictures/pic1008good/good_1/good1_1.jpg 130.5 491.5 20.2 233 241
mao_pictures/pic1010bad/bad1_5.jpg 242.5 448.5 15.8 231 233
mao_pictures/pic1008good/good_1/good1_1.jpg 130.5 491.5 20.2 233 241
mao_pictures/pic1008good/good26_5.jpg 213.5 583.5 21.3 236 236
mao_pictures/pic1008good/good27_3.jpg 239.5 448.5 18.0 231 232
mao_pictures/pic1008good/good33_5.jpg 246.5 448.5 19.1 231 233
mao_pictures/pic1008good/good33_5.jpg 246.5 448.5 19.1 231 233
mao_pictures/pic1008good/good33_5.jpg 246.5 448.5 19.1 231 233
mao_pictures/pic1008good/good40_5.jpg 244.5 445.5 16.3 233 239
mao_pictures/pic1008good/good44_5.jpg 243.5 453.5 15.8 231 233
mao_pictures/pic1008good/good55_2.jpg 247.5 456.5 20.2 232 233
mao_pictures/pic1008good/good55_2.jpg 243.5 450.5 15.8 232 233
mao_pictures/pic1008good/good60_1.jpg 240.5 448.5 16.6 232 234
mao_pictures/pic1010bad/bad1_3.jpg 241.5 446.5 19.1 231 233
mao_pictures/pic1010bad/bad3_3.jpg 239.5 454.5 16.9 231 233
mao_pictures/pic1010bad/bad6_4.jpg 249.5 445.5 18.0 235 234
mao_pictures/pic1010bad/bad10_3.jpg 241.5 452.5 16.0 231 245
mao_pictures/pic1010bad/bad11_3.jpg 246.5 447.5 19.1 235 232
mao_pictures/pic1010bad/bad20_5.jpg 245.5 455.5 16.9 233 246
mao_pictures/pic1010bad/bad21_3.jpg 247.5 445.5 15.8 233 237
mao_pictures/pic1010bad/bad27_3.jpg 238.5 450.5 17.7 231 232
mao_pictures/pic1010bad/bad34_1.jpg 240.5 450.5 16.9 232 234
mao_pictures/pic1010bad/bad37_3.jpg 246.5 443.5 21.3 232 232
mao_pictures/pic1010bad/bad46_1.jpg 241.5 450.5 16.5 232 234
mao_pictures/pic1010bad/bad51_1.jpg 245.5 440.5 18.0 235 233
mao_pictures/pic1010bad/bad53_6.jpg 247.5 444.5 16.1 233 234
mao_pictures/pic1010bad/bad56_2.jpg 246.5 454.5 16.8 232 234
mao_pictures/pic1010bad/bad10_3.jpg 241.5 450.5 16.5 231 245
mao_pictures/pic1010bad/bad11_3.jpg 246.5 447.5 19.1 235 232
mao_pictures/pic1010bad/bad27_5.jpg 241.5 452.5 16.6 233 232
mao_pictures/pic1010bad/bad10_3.jpg 241.5 450.5 16.5 231 245
mao_pictures/pic1008good/good27_3.jpg 240.5 449.5 17.2 231 232
mao_pictures/pic1008good/good28_5.jpg 244.5 450.5 16.8 232 232
mao_pictures/pic1008good/good28_5.jpg 243.5 448.5 18.0 232 232
mao_pictures/pic1008good/good35_2.jpg 244.5 446.5 17.7 231 233
mao_pictures/pic1008good/good35_2.jpg 242.5 449.5 16.9 231 233
mao_pictures/pic1008good/good55_4.jpg 241.5 446.5 18.2 235 232
mao_pictures/pic1008good/good55_4.jpg 243.5 449.5 16.6 235 232
mao_pictures/pic1008good/good62_6.jpg 244.5 449.5 18.0 232 233
mao_pictures/pic1008good/good62_6.jpg 244.5 449.5 18.0 232 233
mao_pictures/pic1008good/good62_6.jpg 244.5 448.5 17.4 232 233
mao_pictures/pic1008good/good27_4.jpg 243.5 450.5 19.4 232 232
mao_pictures/pic1008good/good39_3.jpg 245.5 445.5 18.0 231 235
mao_pictures/pic1010bad/bad68_1.jpg 241.5 450.5 21.3 233 235
mao_pictures/pic1010bad/bad32_1.jpg 237.5 453.5 20.2 233 234
mao_pictures/pic1010bad/bad10_3.jpg 241.5 450.5 16.5 231 245
mao_pictures/pic1010bad/bad10_3.jpg 241.5 450.5 16.5 231 245
mao_pictures/pic1010bad/bad10_3.jpg 241.5 450.5 16.5 231 245
mao_pictures/pic1010bad/bad10_3.jpg 241.5 450.5 16.5 231 245
mao_pictures/pic1010bad/bad10_3.jpg 241.5 450.5 16.5 231 245
mao_pictures/pic1010bad/bad10_3.jpg 241.5 450.5 16.5 231 245
mao_pictures/pic1010bad/bad10_3.jpg 241.5 450.5 16.5 231 245
mao_pictures/pic1010bad/bad10_3.jpg 241.5 450.5 16.5 231 245
mao_pictures/pic1010bad/bad10_3.jpg 241.5 450.5 16.5 231 245
mao_pictures/pic1010bad/bad10_3.jpg 241.5 450.5 16.5 231 245
mao_pictures/pic1010bad/bad10_3.jpg 241.5 450.5 16.5 231 245
mao_pictures/pic1010bad/bad10_3.jpg 241.5 450.5 16.5 231 245
mao_pictures/pic1010bad/bad10_3.jpg 241.5 450.5 16.5 231 245
mao_pictures/pic1010bad/bad10_3.jpg 241.5 450.5 16.5 231 245
mao_pictures/pic1010bad/bad10_3.jpg 241.5 450.5 16.5 231 245
mao_pictures/pic1010bad/bad10_3.jpg 241.5 450.5 16.5 231 245
mao_pictures/pic1010bad/bad10_3.jpg 241.5 450.5 16.5 231 245
mao_pictures/pic1010bad/bad10_3.jpg 241.5 450.5 16.5 231 245
mao_pictures/pic1010bad/bad10_3.jpg 241.5 450.5 16.5 231 245
mao_pictures/pic1010bad/bad10_3.jpg 241.5 450.5 16.5 231 245
mao_pictures/pic1010bad/bad10_3.jpg 241.5 450.5 16.5 231 245
mao_pictures/pic1010bad/bad36_2.jpg 243.5 448.5 16.0 233 237
mao_pictures/pic1010bad/bad39_4.jpg 244.5 436.5 17.2 236 235
mao_pictures/pic1010bad/bad39_4.jpg 244.5 436.5 17.2 236 235
mao_pictures/pic1010bad/bad39_4.jpg 244.5 436.5 17.2 236 235
mao_pictures/pic1010bad/bad39_4.jpg 244.5 436.5 17.2 236 235
mao_pictures/pic1010bad/bad39_4.jpg 244.5 436.5 17.2 236 235
mao_pictures/pic1010bad/bad39_4.jpg 244.5 436.5 17.2 236 235
mao_pictures/pic1010bad/bad10_3.jpg 241.5 450.5 16.5 231 245
mao_pictures/pic1010bad/bad10_3.jpg 241.5 450.5 16.5 231 245
mao_pictures/pic1010bad/bad10_3.jpg 241.5 450.5 16.5 231 245
mao_pictures/pic1008good/good1_1.jpg 244.5 449.5 17.7 233 241
mao_pictures/pic1008good/good1_1.jpg 244.5 449.5 17.7 233 241
mao_pictures/pic1010bad/bad1_1.jpg 241.5 441.5 20.2 232 233
mao_pictures/pic1010bad/bad1_1.jpg 241.5 441.5 20.2 232 233
mao_pictures/pic1010bad/bad1_1.jpg 241.5 441.5 20.2 232 233
mao_pictures/pic1010bad/bad1_1.jpg 241.5 441.5 20.2 232 233
mao_pictures/pic1010bad/bad1_1.jpg 241.5 441.5 20.2 232 233
mao_pictures/pic1010bad/bad1_1.jpg 241.5 441.5 20.2 232 233
mao_pictures/pic1010bad/bad1_1.jpg 241.5 441.5 20.2 232 233
mao_pictures/pic1010bad/bad1_1.jpg 241.5 441.5 20.2 232 233
mao_pictures/pic1010bad/bad1_1.jpg 241.5 441.5 20.2 232 233
mao_pictures/pic1010bad/bad1_1.jpg 241.5 441.5 20.2 232 233
mao_pictures/pic1010bad/bad1_1.jpg 241.5 441.5 20.2 232 233
mao_pictures/pic1010bad/bad1_1.jpg 241.5 441.5 20.2 232 233
mao_pictures/pic1010bad/bad1_1.jpg 241.5 441.5 20.2 463 467
mao_pictures/pic1010bad/bad1_1.jpg 241.5 441.5 20.2 463 467
mao_pictures/pic1010bad/bad1_1.jpg 241.5 441.5 20.2 463 467
mao_pictures/pic1010bad/bad1_1.jpg 241.5 441.5 20.2 231 234
mao_pictures/pic1008good/good17_2.jpg 244.5 450.5 16.7 232 234
mao_pictures/pic1008good/good58_3.jpg 243.5 448.5 16.8 230 234
mao_pictures/pic1008good/good4_3.jpg 244.5 451.5 18.0 233 200
mao_pictures/pic1008good/good4_3.jpg 244.5 451.5 18.0 232 234
mao_pictures/pic1008good/good58_1.jpg 241.5 448.5 16.6 230 240
mao_pictures/pic1008good/good58_1.jpg 241.5 448.5 16.6 230 240
mao_pictures/pic1008good/good57_6.jpg 240.5 452.5 17.4 232 237
mao_pictures/pic1008good/good51_6.jpg 245.5 450.5 17.4 231 239
mao_pictures/pic1008good/good51_6.jpg 245.5 450.5 17.4 231 153
mao_pictures/pic1008good/good57_6.jpg 240.5 452.5 17.4 232 232
mao_pictures/pic1008good/good1_1.jpg 244.5 449.5 17.7 230 149
mao_pictures/pic1008good/good1_1.jpg 244.5 449.5 17.7 230 149
mao_pictures/pic1008good/good1_1.jpg 244.5 449.5 17.7 230 149
mao_pictures/pic1008good/good13_1.jpg 245.5 451.5 16.8 232 129
mao_pictures/pic1008good/good13_1.jpg 245.5 451.5 16.8 232 235
mao_pictures/pic1010bad/bad10_3.jpg 241.5 450.5 16.5 230 233
mao_pictures/pic1008good/good58_1.jpg 241.5 448.5 16.6 230 240
mao_pictures/pic1010bad/bad1_3.jpg 242.5 444.5 20.2 230 233
mao_pictures/pic1010bad/bad6_4.jpg 248.5 446.5 22.4 232 235
mao_pictures/pic1008good/good15_4.jpg 243.5 451.5 16.6 232 237
mao_pictures/pic1010bad/bad10_3.jpg 241.5 450.5 16.5 231 245
mao_pictures/pic1008good/good15_4.jpg 243.5 451.5 16.6 232 237
mao_pictures/pic1008good/good58_1.jpg 241.5 448.5 16.6 230 240
mao_pictures/pic1008good/good58_1.jpg 241.5 448.5 16.6 230.0 233.0
mao_pictures/pic1008good/good58_1.jpg 241.5 448.5 16.6 230.0 233.0
