1     1, 4, 176.31, 179.71, 47.94, 10.69, 660.07, 658.72, 0.0]
1     2, 3, 176.63, 176.62, 48.18, 7.13, 657.63, 658.16, 0.0]
1     3, 2, 187.83, 188.15, 49.8, 6.73, 658.59, 660.51, 0.0]
1     4, 3, 182.85, 187.18, 49.02, 65.21, 656.44, 661.21, 0.0]
1     5, 1, 179.74, 184.95, 49.7, 24.8, 660.66, 656.42, 0.0]
1     6, 4, 186.56, 189.14, 50.26, 9.92, 655.66, 658.54, 0.0]
2     1, 1, 181.79, 188.85, 49.44, 6.39, 653.75, 661.29, 0.0]
2     2, 2, 181.71, 189.5, 49.65, 12.29, 657.63, 652.82, 0.0]
2     3, 4, 179.44, 191.7, 49.72, 6.23, 656.72, 657.92, 111.0]
2     4, 2, 185.59, 176.64, 47.92, 319.96, 660.78, 656.66, 0.0]
2     5, 2, 185.44, 180.46, 49.21, 69.04, 654.26, 661.5, 128.0]
2     6, 2, 184.65, 172.62, 49.5, 7.63, 654.49, 658.24, 0.0]
3     1, 1, 181.08, 177.44, 48.53, 9.65, 660.28, 654.22, 0.0]
3     2, 2, 180.17, 179.32, 48.76, 14.29, 652.41, 656.73, 0.0]
3     3, 4, 181.69, 181.39, 48.36, 12.86, 659.03, 658.58, 0.0]
3     4, 2, 180.65, 185.94, 49.15, 10.32, 655.88, 656.76, 0.0]
3     5, 2, 183.67, 186.56, 49.35, 10.44, 657.54, 653.47, 0.0]
3     6, 2, 181.86, 185.14, 49.8, 7.48, 657.28, 656.53, 0.0]
4     1, 1, 188.49, 172.49, 48.96, 9.03, 660.14, 655.1, 0.0]
4     2, 2, 187.86, 190.51, 49.2, 9.65, 656.72, 657.27, 0.0]
4     3, 4, 193.05, 178.73, 49.02, 11.2, 654.23, 659.32, 0.0]
4     4, 2, 188.77, 193.54, 49.48, 4.58, 660.62, 660.93, 0.0]
4     5, 2, 191.68, 195.42, 49.78, 23.48, 655.39, 658.99, 0.0]
4     6, 2, 184.92, 197.4, 51.08, 32.19, 656.86, 653.19, 0.0]
5     1, 1, 179.53, 184.58, 49.17, 23.92, 662.44, 656.89, 93.0]
5     2, 2, 179.02, 182.71, 50.13, 12.56, 656.81, 659.55, 0.0]
5     3, 4, 177.02, 182.32, 49.64, 6.95, 657.21, 660.31, 140.0]
5     4, 2, 176.04, 177.68, 48.42, 7.67, 657.41, 658.69, 0.0]
5     5, 2, 177.47, 177.32, 48.28, 9.58, 659.27, 657.75, 0.0]
5     6, 2, 175.27, 176.42, 48.86, 9.62, 658.26, 661.16, 0.0]
6     1, 1, 179.0, 181.54, 49.33, 5.96, 658.39, 658.1, 0.0]
6     2, 2, 178.18, 183.43, 49.65, 7.89, 653.04, 659.67, 6.0]
6     3, 4, 177.28, 183.89, 49.53, 4.49, 657.68, 654.7, 0.0]
6     4, 2, 168.6, 178.06, 48.15, 10.71, 658.77, 657.13, 0.0]
6     5, 2, 182.55, 177.3, 48.41, 11.7, 659.44, 654.78, 0.0]
6     6, 2, 178.26, 175.94, 48.94, 11.83, 654.9, 663.19, 0.0]
7     1, 1, 182.57, 182.73, 49.77, 5.93, 663.01, 658.46, 112.0]
7     2, 2, 180.43, 182.79, 50.38, 13.59, 657.69, 658.08, 0.0]
7     3, 4, 176.77, 183.14, 49.81, 7.39, 657.02, 661.11, 67.0]
7     4, 2, 177.43, 178.23, 49.01, 17.16, 658.18, 659.47, 0.0]
7     5, 2, 177.48, 178.03, 49.07, 13.01, 658.35, 656.89, 0.0]
7     6, 2, 177.31, 174.57, 48.85, 26.38, 659.26, 660.5, 0.0]
8     1, 1, 179.0, 174.91, 48.29, 21.26, 660.35, 660.94, 0.0]
8     2, 2, 178.2, 180.61, 48.67, 12.03, 658.47, 660.87, 0.0]
8     3, 4, 185.49, 190.82, 48.7, 9.05, 660.82, 662.15, 0.0]
8     4, 2, 184.44, 183.75, 49.15, 9.66, 664.79, 658.73, 0.0]
8     5, 2, 181.24, 184.77, 49.5, 14.24, 659.45, 661.05, 0.0]
8     6, 2, 186.31, 186.85, 50.97, 27.19, 655.62, 659.09, 0.0]
9     1, 1, 180.81, 184.13, 49.27, 7.37, 658.5, 654.47, 0.0]
9     2, 2, 172.97, 182.59, 49.56, 7.16, 651.36, 657.9, 86.0]
9     3, 4, 173.46, 183.0, 49.6, 15.11, 657.07, 656.71, 0.0]
9     4, 2, 179.95, 179.44, 48.64, 9.94, 660.15, 658.82, 0.0]
9     5, 2, 176.13, 173.73, 48.59, 11.88, 659.5, 658.14, 0.0]
9     6, 2, 173.6, 175.95, 49.39, 13.41, 652.74, 660.81, 0.0]
10     1, 1, 178.25, 179.61, 48.65, 8.31, 655.82, 659.1, 0.0]
10     2, 2, 182.58, 177.89, 49.0, 7.28, 655.8, 659.64, 0.0]
10     3, 4, 177.45, 180.18, 48.47, 9.36, 661.26, 653.65, 0.0]
10     4, 2, 180.34, 185.12, 49.35, 12.63, 658.37, 656.32, 0.0]
10     5, 2, 179.57, 185.07, 50.23, 261.15, 658.66, 654.92, 0.0]
10     6, 2, 181.83, 182.69, 50.09, 6.49, 653.11, 659.62, 0.0]
11     1, 1, 175.86, 178.71, 49.16, 4.3, 662.26, 656.64, 0.0]
11     2, 2, 179.66, 182.33, 49.44, 4.96, 655.14, 658.78, 0.0]
11     3, 4, 173.71, 176.16, 48.32, 6.28, 658.09, 662.15, 0.0]
11     4, 2, 177.9, 183.43, 49.53, 8.85, 658.44, 660.42, 65.0]
11     5, 2, 181.78, 184.19, 49.91, 13.77, 657.49, 656.94, 0.0]
11     6, 2, 177.74, 179.69, 50.58, 10.89, 657.63, 655.98, 0.0]
12     1, 1, 176.94, 183.94, 47.94, 5.43, 658.11, 659.22, 0.0]
12     2, 2, 180.14, 183.87, 48.43, 12.66, 657.67, 658.12, 0.0]
12     3, 4, 180.82, 184.47, 48.39, 31.12, 655.64, 657.55, 241.0]
12     4, 2, 187.14, 186.73, 48.73, 31.89, 661.08, 656.0, 0.0]
12     5, 2, 185.58, 187.32, 49.48, 17.25, 654.8, 660.48, 0.0]
12     6, 2, 187.38, 188.47, 50.27, 12.21, 656.1, 659.35, 0.0]
13     1, 1, 184.31, 186.53, 48.82, 8.47, 660.08, 660.33, 0.0]
13     2, 2, 183.07, 185.12, 49.81, 12.79, 653.17, 659.66, 0.0]
13     3, 4, 183.42, 184.03, 49.49, 7.26, 656.57, 657.93, 0.0]
13     4, 2, 175.34, 181.06, 48.51, 8.81, 657.1, 657.6, 0.0]
13     5, 2, 179.69, 184.02, 48.55, 6.47, 659.46, 657.6, 0.0]
13     6, 2, 174.71, 181.71, 48.77, 20.57, 654.96, 660.83, 0.0]
14     1, 1, 181.21, 185.64, 49.51, 10.12, 656.97, 658.68, 14.0]
14     2, 2, 180.19, 183.89, 50.71, 9.42, 659.25, 658.88, 0.0]
14     3, 4, 184.04, 182.25, 49.69, 7.96, 660.61, 656.74, 0.0]
14     4, 2, 181.09, 180.2, 48.91, 6.02, 662.03, 656.05, 11.0]
14     5, 2, 178.73, 179.82, 48.85, 8.05, 656.97, 660.79, 0.0]
14     6, 2, 179.16, 179.63, 49.11, 11.55, 655.03, 659.51, 0.0]
15     1, 1, 183.82, 184.74, 49.27, 17.7, 662.4, 654.96, 0.0]
15     2, 2, 186.27, 186.45, 50.27, 12.98, 656.26, 657.71, 187.0]
15     3, 4, 181.45, 188.48, 49.95, 6.0, 654.31, 661.04, 0.0]
15     4, 2, 181.45, 176.8, 47.79, 73.59, 660.37, 663.08, 0.0]
15     5, 2, 179.22, 179.03, 48.87, 21.74, 657.89, 654.71, 0.0]
15     6, 2, 173.75, 180.84, 48.59, 21.07, 658.41, 660.46, 0.0]
16     1, 1, 173.45, 173.82, 49.27, 7.3, 661.69, 657.7, 0.0]
16     2, 2, 175.51, 179.26, 48.95, 17.47, 658.68, 659.77, 0.0]
16     3, 4, 177.22, 178.38, 49.41, 7.31, 660.93, 662.69, 140.0]
16     4, 2, 176.42, 185.13, 49.54, 5.59, 657.46, 663.69, 0.0]
16     5, 2, 180.52, 181.86, 50.08, 18.51, 658.85, 656.66, 0.0]
