1   1, 1, 174.35, 180.32, 48.82, 14.94, 655.67, 658.52, 0.0]
1   2, 2, 178.38, 183.74, 49.0, 14.92, 657.64, 656.77, 116.0]
1   3, 4, 175.85, 180.54, 50.38, 40.78, 655.37, 656.7, 0.0]
1   4, 2, 182.67, 183.62, 49.41, 8.96, 659.66, 656.2, 0.0]
1   5, 2, 185.87, 185.08, 49.56, 10.07, 656.59, 660.2, 0.0]
1   6, 2, 183.02, 182.77, 49.95, 10.89, 657.38, 659.1, 0.0]
2   1, 1, 171.45, 172.58, 48.4, 24.59, 662.01, 655.08, 0.0]
2   2, 2, 176.09, 175.75, 49.09, 22.97, 655.1, 658.02, 0.0]
2   3, 4, 163.92, 174.11, 48.71, 14.79, 658.24, 661.38, 0.0]
2   4, 2, 176.65, 183.33, 49.81, 16.99, 658.33, 659.28, 68.0]
2   5, 2, 182.9, 182.35, 48.54, 101.69, 657.79, 657.01, 0.0]
2   6, 2, 176.92, 183.21, 51.04, 18.86, 658.21, 656.88, 0.0]
3   1, 1, 188.52, 178.2, 49.09, 4.0, 659.48, 657.67, 0.0]
3   2, 2, 183.92, 174.51, 49.3, 12.9, 654.31, 658.04, 0.0]
3   3, 4, 183.15, 173.13, 49.14, 11.63, 658.52, 661.4, 0.0]
3   4, 2, 183.04, 193.07, 49.26, 3.99, 659.44, 658.42, 0.0]
3   5, 2, 183.56, 189.57, 48.76, 9.61, 660.76, 657.21, 0.0]
3   6, 2, 180.51, 188.88, 51.04, 139.71, 655.57, 658.36, 0.0]
4   1, 1, 180.83, 176.07, 46.36, 10.83, 660.98, 653.88, 382.0]
4   2, 2, 167.31, 182.5, 47.32, 21.93, 656.29, 660.52, 0.0]
4   3, 4, 173.72, 178.34, 48.18, 14.45, 658.79, 662.0, 145.0]
4   4, 2, 183.56, 183.59, 49.56, 18.43, 656.12, 660.21, 0.0]
4   5, 2, 188.64, 175.91, 49.38, 21.82, 661.86, 657.92, 0.0]
4   6, 2, 179.24, 185.03, 49.92, 9.48, 656.39, 658.39, 78.0]
5   1, 1, 175.01, 182.04, 49.56, 7.07, 662.61, 657.65, 0.0]
5   2, 2, 177.34, 182.59, 50.85, 234.27, 656.25, 659.96, 0.0]
5   3, 4, 172.23, 179.63, 50.24, 7.38, 657.7, 660.22, 0.0]
5   4, 2, 172.44, 170.07, 48.56, 7.28, 659.99, 659.7, 0.0]
5   5, 2, 178.39, 164.63, 48.39, 40.23, 660.09, 659.93, 0.0]
5   6, 2, 173.21, 172.83, 49.02, 7.77, 659.11, 657.83, 0.0]
6   1, 1, 186.19, 182.49, 48.28, 7.85, 667.51, 665.93, 39.0]
6   2, 2, 154.56, 182.81, 49.25, 11.22, 662.45, 653.98, 11.0]
6   3, 4, 178.29, 177.88, 48.92, 21.18, 654.86, 662.97, 175.0]
6   4, 2, 188.44, 181.38, 50.01, 16.47, 663.46, 661.06, 0.0]
6   5, 2, 186.54, 183.34, 50.03, 13.1, 656.86, 663.29, 0.0]
6   6, 2, 178.0, 189.11, 51.15, 19.24, 658.35, 658.52, 0.0]
7   1, 1, 182.67, 180.47, 48.39, 16.91, 655.14, 658.89, 252.0]
7   2, 2, 180.64, 173.61, 45.96, 350.78, 660.48, 657.05, 0.0]
7   3, 4, 178.8, 177.57, 49.04, 13.14, 663.03, 657.54, 294.0]
7   4, 2, 184.79, 187.48, 49.38, 8.13, 663.5, 657.28, 10.0]
7   5, 2, 179.71, 183.92, 49.52, 16.83, 659.01, 661.5, 284.0]
7   6, 2, 181.22, 184.34, 49.93, 7.56, 654.46, 658.91, 95.0]
8   1, 1, 180.29, 179.36, 49.38, 12.34, 659.56, 660.0, 0.0]
8   2, 2, 172.44, 163.97, 50.04, 13.01, 661.55, 661.9, 0.0]
8   3, 4, 178.17, 184.37, 48.93, 12.54, 659.29, 663.2, 113.0]
8   4, 2, 179.55, 179.46, 50.35, 16.68, 664.68, 656.88, 0.0]
8   5, 2, 176.6, 179.42, 50.23, 18.85, 659.68, 659.43, 0.0]
8   6, 2, 177.34, 182.17, 50.15, 11.68, 657.78, 661.79, 0.0]
9   1, 1, 184.59, 181.52, 48.52, 27.06, 660.86, 653.78, 10.0]
9   2, 2, 189.88, 191.47, 49.18, 4.35, 655.48, 658.52, 0.0]
9   3, 4, 181.93, 167.31, 49.0, 6.64, 657.17, 661.11, 0.0]
9   4, 2, 185.22, 188.12, 49.34, 12.5, 657.24, 663.04, 0.0]
9   5, 2, 192.19, 190.75, 49.72, 20.61, 658.29, 657.06, 0.0]
9   6, 2, 178.25, 187.42, 51.21, 24.91, 657.78, 657.19, 0.0]
10   1, 1, 178.09, 180.24, 48.31, 6.64, 656.16, 660.63, 0.0]
10   2, 2, 177.24, 176.53, 48.8, 14.2, 657.42, 654.87, 0.0]
10   3, 4, 177.1, 181.11, 48.54, 10.51, 658.56, 659.89, 0.0]
10   4, 2, 182.68, 182.05, 49.34, 7.08, 658.92, 655.29, 72.0]
10   5, 2, 181.83, 183.81, 49.29, 12.13, 657.42, 662.47, 0.0]
10   6, 2, 180.12, 181.55, 49.77, 10.49, 653.96, 659.96, 0.0]
11   1, 1, 175.58, 173.79, 48.77, 19.62, 664.8, 659.58, 0.0]
11   2, 2, 180.08, 178.1, 48.81, 11.68, 659.15, 660.64, 0.0]
11   3, 4, 172.49, 171.8, 48.34, 16.29, 658.92, 663.37, 0.0]
11   4, 2, 176.92, 178.26, 49.7, 12.43, 659.84, 659.72, 0.0]
11   5, 2, 180.56, 183.64, 49.9, 10.78, 660.25, 660.7, 0.0]
11   6, 2, 176.58, 180.69, 50.31, 10.8, 662.17, 660.46, 0.0]
12   1, 1, 181.1, 181.29, 48.38, 25.8, 662.31, 657.66, 17.0]
12   2, 2, 188.42, 197.64, 48.36, 12.31, 657.5, 657.7, 0.0]
12   3, 4, 178.5, 179.73, 48.32, 12.56, 657.02, 662.73, 0.0]
12   4, 2, 184.5, 185.3, 49.37, 7.29, 658.95, 662.23, 0.0]
12   5, 2, 192.93, 188.57, 49.69, 11.04, 658.72, 659.24, 0.0]
12   6, 2, 182.02, 184.72, 49.89, 7.07, 659.86, 658.27, 0.0]
13   1, 1, 171.82, 181.46, 48.71, 15.63, 654.72, 657.47, 0.0]
13   2, 2, 173.4, 172.0, 48.63, 13.26, 656.52, 657.59, 0.0]
13   3, 4, 175.86, 181.3, 48.52, 7.15, 658.57, 656.47, 0.0]
13   4, 2, 183.65, 180.69, 49.75, 9.81, 667.35, 654.59, 0.0]
13   5, 2, 177.94, 180.16, 50.74, 129.88, 655.1, 657.67, 0.0]
13   6, 2, 184.72, 185.6, 50.12, 13.36, 654.44, 661.47, 43.0]
14   1, 1, 174.71, 174.94, 48.42, 12.04, 661.2, 657.03, 268.0]
14   2, 2, 176.11, 180.09, 48.74, 5.71, 658.06, 659.41, 42.0]
14   3, 4, 171.64, 174.84, 48.76, 13.6, 659.57, 663.84, 21.0]
14   4, 2, 178.41, 181.27, 49.84, 7.46, 659.37, 660.38, 70.0]
14   5, 2, 181.53, 180.52, 49.7, 16.57, 659.41, 659.98, 0.0]
14   6, 2, 174.78, 181.48, 50.6, 16.57, 656.7, 659.3, 0.0]
15   1, 1, 184.96, 185.87, 49.77, 10.47, 664.36, 656.33, 25.0]
15   2, 2, 176.43, 183.71, 50.29, 24.62, 653.9, 663.74, 0.0]
15   3, 4, 181.35, 186.74, 50.12, 16.53, 663.74, 666.37, 42.0]
15   4, 2, 179.48, 171.53, 48.41, 60.88, 661.07, 662.06, 29.0]
15   5, 2, 175.99, 177.4, 47.83, 123.42, 661.5, 662.49, 206.0]
15   6, 2, 173.64, 179.34, 49.44, 13.44, 654.85, 663.01, 0.0]
16   1, 1, 178.22, 175.68, 49.15, 17.76, 661.98, 656.68, 0.0]
16   2, 2, 187.3, 165.84, 50.45, 6.73, 657.21, 659.44, 0.0]
16   3, 4, 168.77, 176.74, 48.63, 10.05, 658.47, 660.72, 0.0]
16   4, 2, 178.48, 181.78, 51.5, 121.92, 659.13, 659.2, 0.0]
16   5, 2, 163.37, 182.75, 50.3, 24.92, 656.77, 658.1, 0.0]
16   6, 2, 179.23, 176.59, 49.5, 5.42, 657.41, 658.68, 0.0]
17   1, 1, 176.26, 170.89, 50.02, 16.68, 658.74, 658.92, 22.0]
17   2, 2, 166.77, 177.5, 49.19, 12.21, 655.65, 662.61, 68.0]
17   3, 4, 173.07, 173.03, 48.4, 8.34, 660.24, 658.58, 0.0]
17   4, 2, 170.92, 173.7, 53.77, 117.59, 660.01, 658.77, 0.0]
17   5, 2, 179.08, 182.54, 49.6, 16.68, 661.41, 658.1, 0.0]
17   6, 2, 174.05, 179.46, 50.39, 4.7, 651.5, 662.34, 0.0]
18   1, 1, 177.25, 182.34, 48.73, 11.65, 658.51, 659.12, 0.0]
18   2, 2, 177.83, 177.81, 48.94, 16.37, 659.04, 658.16, 316.0]
18   3, 4, 180.18, 187.69, 48.49, 11.76, 661.13, 661.34, 0.0]
18   4, 2, 185.18, 182.3, 49.51, 42.81, 664.74, 659.5, 139.0]
18   5, 2, 179.62, 183.77, 49.6, 9.07, 657.68, 661.7, 0.0]
18   6, 2, 187.3, 183.81, 50.32, 9.27, 657.17, 658.67, 0.0]
19   1, 1, 175.36, 180.12, 49.92, 3.97, 658.53, 658.58, 23.0]
19   2, 2, 176.49, 183.45, 50.07, 12.72, 655.72, 658.69, 0.0]
